id_row,Country Code ISO3,Trade,Year,Amount,Product Classification EN,Country,Region,Latitude,Longitude
163,NA,Import,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Canary Islands,Europe,0.0,0.0
164,NA,Export,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Ceuta and Melilla,Africa,0.0,0.0
165,NA,Import,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Ceuta and Melilla,Africa,0.0,0.0
166,NA,Import,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Ceuta and Melilla,Africa,0.0,0.0
167,NA,Import,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Ceuta and Melilla,Africa,0.0,0.0
168,NA,Export,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Melilla,Africa,0.0,0.0
169,NA,Import,2022,0.0,"Machinery, Mechanical Applicances, Electrical Equipment",Melilla,Africa,0.0,0.0
170,NA,Export,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Canary Islands,Europe,0.0,0.0
171,NA,Import,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Canary Islands,Europe,0.0,0.0
172,NA,Export,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Ceuta and Melilla,Africa,0.0,0.0
173,NA,Import,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Ceuta and Melilla,Africa,0.0,0.0
174,NA,Import,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Ceuta and Melilla,Africa,0.0,0.0
175,NA,Import,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Ceuta and Melilla,Africa,0.0,0.0
176,NA,Export,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Melilla,Africa,0.0,0.0
177,NA,Import,2022,0.0,"Vehicles, Aircraft, Vessels and related transport equipment",Melilla,Africa,0.0,0.0
178,NA,Export,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Canary Islands,Europe,0.0,0.0
179,NA,Import,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Canary Islands,Europe,0.0,0.0
180,NA,Export,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Ceuta and Melilla,Africa,0.0,0.0
181,NA,Import,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Ceuta and Melilla,Africa,0.0,0.0
182,NA,Import,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Ceuta and Melilla,Africa,0.0,0.0
183,NA,Import,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Ceuta and Melilla,Africa,0.0,0.0
184,NA,Export,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Melilla,Africa,0.0,0.0
185,NA,Import,2022,0.0,"Optical, Photographic, Measuring, Medical, Surgical, Clocks",Melilla,Africa,0.0,0.0
186,NA,Export,2022,0.0,Arms and Ammunition,Canary Islands,Europe,0.0,0.0
187,NA,Import,2022,0.0,Arms and Ammunition,Canary Islands,Europe,0.0,0.0
188,NA,Export,2022,0.0,Arms and Ammunition,Ceuta and Melilla,Africa,0.0,0.0
189,NA,Import,2022,0.0,Arms and Ammunition,Ceuta and Melilla,Africa,0.0,0.0
190,NA,Import,2022,0.0,Arms and Ammunition,Ceuta and Melilla,Africa,0.0,0.0
191,NA,Import,2022,0.0,Arms and Ammunition,Ceuta and Melilla,Africa,0.0,0.0
192,NA,Export,2022,0.0,Arms and Ammunition,Melilla,Africa,0.0,0.0
193,NA,Import,2022,0.0,Arms and Ammunition,Melilla,Africa,0.0,0.0
194,NA,Export,2022,0.0,Miscellaneous,Canary Islands,Europe,0.0,0.0
195,NA,Import,2022,0.0,Miscellaneous,Canary Islands,Europe,0.0,0.0
196,NA,Export,2022,0.0,Miscellaneous,Ceuta and Melilla,Africa,0.0,0.0
197,NA,Import,2022,0.0,Miscellaneous,Ceuta and Melilla,Africa,0.0,0.0
198,NA,Import,2022,0.0,Miscellaneous,Ceuta and Melilla,Africa,0.0,0.0
199,NA,Import,2022,0.0,Miscellaneous,Ceuta and Melilla,Africa,0.0,0.0
200,NA,Export,2022,0.0,Miscellaneous,Melilla,Africa,0.0,0.0
201,NA,Import,2022,0.0,Miscellaneous,Melilla,Africa,0.0,0.0
202,NA,Export,2022,0.0,Art and Antiques,Canary Islands,Europe,0.0,0.0
203,NA,Import,2022,0.0,Art and Antiques,Canary Islands,Europe,0.0,0.0
204,NA,Export,2022,0.0,Art and Antiques,Ceuta and Melilla,Africa,0.0,0.0
205,NA,Import,2022,0.0,Art and Antiques,Ceuta and Melilla,Africa,0.0,0.0
206,NA,Import,2022,0.0,Art and Antiques,Ceuta and Melilla,Africa,0.0,0.0
207,NA,Import,2022,0.0,Art and Antiques,Ceuta and Melilla,Africa,0.0,0.0
208,NA,Export,2022,0.0,Art and Antiques,Melilla,Africa,0.0,0.0
209,NA,Import,2022,0.0,Art and Antiques,Melilla,Africa,0.0,0.0
210,NA,Export,2022,0.0,Animals and Products,Netherlands Antilles,Americas,0.0,0.0
211,NA,Import,2022,0.0,Animals and Products,Netherlands Antilles,Americas,0.0,0.0
