id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
679,200802,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
680,200802,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.84999990463257,8178.0
681,200802,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.01000022888184,26083.0
682,200803,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.03999996185303,14455.0
683,200803,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.3600001335144,1757.0
684,200803,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.73999977111816,1249.0
685,200803,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.13000011444092,27185.0
686,200803,Households,Loans for consumption,Over 5 years,NA,5.82000017166138,26.0
687,200803,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
688,200803,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.90000009536743,206.0
689,200803,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.26999998092651,29.0
690,200803,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
691,200803,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,3.98000001907349,8984.0
692,200803,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
693,200804,Households,Loans for consumption,Over 5 years,NA,6.07999992370605,27.0
694,200804,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
695,200804,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.11999988555908,29196.0
696,200804,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
697,200804,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.76999998092651,25.0
698,200804,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.09000015258789,9163.0
699,200804,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,5.76999998092651,1151.0
700,200804,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,5.42000007629395,1410.0
701,200804,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.03999996185303,12409.0
